g,i,year,xwater,xland,p,y,omegalabor,omegasupply,omegaland,Etc
WEST SIDE IRRIGATION DISTRICT NO. 5,Cereal Grain,2015,2.1,237,160,2.21,70,180,222,2.081091
WEST SIDE IRRIGATION DISTRICT NO. 5,Hay/Silage,2015,2.63,321,174,5.42,120,260,222,3.83877
WEST SIDE IRRIGATION DISTRICT NO. 5,Seed,2015,2.55,895,3600,0.35,250,450,222,1.9686
WEST SIDE IRRIGATION DISTRICT NO. 5,Vegetable,2015,2.5,112,255,26.89,5300,3800,222,2.9529
WEST SIDE IRRIGATION DISTRICT NO. 5,Cereal Grain,2016,2.08,237,146,3.1,71,182,231,2.081091
WEST SIDE IRRIGATION DISTRICT NO. 5,Hay/Silage,2016,2.31,321,142,5.43,253,455,231,3.83877
WEST SIDE IRRIGATION DISTRICT NO. 5,Seed,2016,2.36,895,3800,0.38,253,455,231,1.9686
WEST SIDE IRRIGATION DISTRICT NO. 5,Vegetable,2016,2.29,112,255,16.19,5353,3838,231,2.9529
WEST SIDE IRRIGATION DISTRICT NO. 5,Cereal Grain,2017,1.91,339,148,2.86,72,185,240,2.081091
WEST SIDE IRRIGATION DISTRICT NO. 5,Hay/Silage,2017,2.02,314,172,5.69,124,268,240,3.83877
WEST SIDE IRRIGATION DISTRICT NO. 5,Oilseed,2017,2.1,12,350,0.07,773,618,240,1.9686
WEST SIDE IRRIGATION DISTRICT NO. 5,Seed,2017,2.18,839,4000,15,258,464,240,1.9686
WEST SIDE IRRIGATION DISTRICT NO. 5,Vegetable,2017,2.81,49,240,15.47,5459,3914,240,2.9529
WEST SIDE IRRIGATION DISTRICT NO. 5,Cereal Grain,2018,2.56,474,172.67,3.05,74,189,250,2.081091
WEST SIDE IRRIGATION DISTRICT NO. 5,Hay/Silage,2018,2.32,312,186,4.76,126,273,250,3.83877
WEST SIDE IRRIGATION DISTRICT NO. 5,Seed,2018,2.11,738,4200,0.4,263,473,250,1.9686
WEST SIDE IRRIGATION DISTRICT NO. 5,Vegetable,2018,2.46,49,760,16.31,5565,3990,250,2.9529
WEST SIDE IRRIGATION DISTRICT NO. 5,Cereal Grain,2019,2.3,599,180.44,2.84,75,193,260,2.081091
WEST SIDE IRRIGATION DISTRICT NO. 5,Hay/Silage,2019,2.2,227,193,4.65,128,278,260,3.83877
WEST SIDE IRRIGATION DISTRICT NO. 5,Seed,2019,2.2,627,4400,0.38,268,482,260,1.9686
WEST SIDE IRRIGATION DISTRICT NO. 5,Vegetable,2019,2.88,32,780,16.6,5671,4066,260,2.9529
WEST SIDE IRRIGATION DISTRICT NO. 5,Cereal Grain,2020,2.18,599,193.63,3.13,76,194,270,2.081091
WEST SIDE IRRIGATION DISTRICT NO. 5,Hay/Silage,2020,2.43,227,191,4.81,130,281,270,3.83877
WEST SIDE IRRIGATION DISTRICT NO. 5,Seed,2020,2.72,627,5000,0.36,270,486,270,1.9686
WEST SIDE IRRIGATION DISTRICT NO. 5,Vegetable,2020,2.39,32,780,16.52,5724,4104,270,2.9529
WEST SIDE IRRIGATION DISTRICT NO. 5,Cereal Grain,2021,2.82,211,275.03,1.86,79,203,281,2.081091
WEST SIDE IRRIGATION DISTRICT NO. 5,Hay/Silage,2021,2.47,311,232,4.68,136,294,281,3.83877
WEST SIDE IRRIGATION DISTRICT NO. 5,Herb,2021,2.11,2,386,0.06,283,509,281,2.416
WEST SIDE IRRIGATION DISTRICT NO. 5,Seed,2021,2.4,522,6000,0.35,283,509,281,1.9686
WEST SIDE IRRIGATION DISTRICT NO. 5,Vegetable,2021,2.36,74,856,15.25,5989,4294,281,2.9529
WEST SIDE IRRIGATION DISTRICT NO. 5,Cereal Grain,2022,2.42,211,263.93,2.77,85,220,383,2.081091
WEST SIDE IRRIGATION DISTRICT NO. 5,Hay/Silage,2022,2.54,311,320,5.3,146,317,383,3.83877
WEST SIDE IRRIGATION DISTRICT NO. 5,Herb,2022,2.02,2,424,0.06,305,549,383,2.416
WEST SIDE IRRIGATION DISTRICT NO. 5,Seed,2022,2.4,522,7000,0.37,305,549,383,1.9686
WEST SIDE IRRIGATION DISTRICT NO. 5,Vegetable,2022,2.3,74,900,15.44,6466,4636,383,2.9529
WEST SIDE IRRIGATION DISTRICT NO. 5,Cereal Grain,2023,2.21,211,255.3,2.26,89,229,294,2.081091
WEST SIDE IRRIGATION DISTRICT NO. 5,Hay/Silage,2023,2.47,311,258,5.11,152,330,294,3.83877
WEST SIDE IRRIGATION DISTRICT NO. 5,Herb,2023,1.85,2,438,0.06,318,572,294,2.416
WEST SIDE IRRIGATION DISTRICT NO. 5,Seed,2023,2.23,520,6200,0.39,318,572,294,1.9686
WEST SIDE IRRIGATION DISTRICT NO. 5,Vegetable,2023,2.99,74,860,16.63,6731,4826,294,2.9529
WEST SIDE IRRIGATION DISTRICT NO. 5,Cereal Grain,2024,1.71,350,277.5,3.6,92,236,407,2.081091
WEST SIDE IRRIGATION DISTRICT NO. 5,Hay/Silage,2024,2.35,234,275,5,157,341,407,3.83877
WEST SIDE IRRIGATION DISTRICT NO. 5,Seed,2024,93.3,570,5800,0.39,328,590,407,1.9686
WEST SIDE IRRIGATION DISTRICT NO. 5,Vegetable,2024,2.99,50,1180,11.2,6943,4978,407,2.9529
