crop_code,internal_id,name,county,direct_jobs,direct_value_add,total_jobs,total_revenue,total_value_add
ALPIS,DAP090,North Delta Extra,Solano,1.6E-05,6.6E-01,2.1E-05,1.5E+00,9.9E-01
CORN,DAP090,North Delta Extra,Solano,1.6E-06,7.5E-01,4.7E-06,1.4E+00,1.0
GRAIN,DAP090,North Delta Extra,Solano,1.6E-06,7.5E-01,4.7E-06,1.4E+00,1.0
OTHDEC,DAP090,North Delta Extra,Solano,4.5E-06,6.3E-01,8.0E-06,1.4E+00,8.8E-01
OTHFLD,DAP090,North Delta Extra,Solano,2.0E-05,5.2E-01,2.4E-05,1.4E+00,7.9E-01
OTHTRK,DAP090,North Delta Extra,Solano,3.4E-06,5.2E-01,6.5E-06,1.4E+00,7.4E-01
PASTR,DAP090,North Delta Extra,Solano,2.0E-05,5.2E-01,2.4E-05,1.4E+00,7.9E-01
VINE,DAP090,North Delta Extra,Solano,4.5E-06,6.3E-01,8.0E-06,1.4E+00,8.8E-01
ALFAL,DAP092,Palm-Orwood,Contra Costa,5.7E-05,5.2E-01,6.2E-05,1.8E+00,1.0
CORN,DAP092,Palm-Orwood,Contra Costa,3.4E-06,7.5E-01,8.5E-06,1.9E+00,1.3E+00
CUCUR,DAP092,Palm-Orwood,Contra Costa,7.8E-06,5.2E-01,1.2E-05,1.7E+00,9.3E-01
GRAIN,DAP092,Palm-Orwood,Contra Costa,3.4E-06,7.5E-01,8.5E-06,1.9E+00,1.3E+00
OTHTRK,DAP092,Palm-Orwood,Contra Costa,7.8E-06,5.2E-01,1.2E-05,1.7E+00,9.3E-01
PASTR,DAP092,Palm-Orwood,Contra Costa,5.7E-05,5.2E-01,6.2E-05,1.8E+00,1.0
PRTOM,DAP092,Palm-Orwood,Contra Costa,7.8E-06,5.2E-01,1.2E-05,1.7E+00,9.3E-01
SAFLR,DAP092,Palm-Orwood,Contra Costa,1.7E-06,9.5E-01,8.9E-06,2.3E+00,1.8E+00
VINE,DAP092,Palm-Orwood,Contra Costa,9.2E-06,6.3E-01,1.4E-05,1.7E+00,1.1E+00
ALFAL,DAP093,Paradise Junction,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
ALPIS,DAP093,Paradise Junction,San Joaquin,1.6E-05,6.6E-01,2.1E-05,1.6E+00,1.1E+00
CORN,DAP093,Paradise Junction,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
GRAIN,DAP093,Paradise Junction,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
OTHTRK,DAP093,Paradise Junction,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PASTR,DAP093,Paradise Junction,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
PRTOM,DAP093,Paradise Junction,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
SAFLR,DAP093,Paradise Junction,San Joaquin,5.5E-07,9.5E-01,3.4E-06,1.4E+00,1.2E+00
ALFAL,DAP094,Pearson District,Sacramento,3.2E-05,5.2E-01,3.6E-05,1.7E+00,9.0E-01
CORN,DAP094,Pearson District,Sacramento,2.1E-06,7.5E-01,5.5E-06,1.6E+00,1.1E+00
CUCUR,DAP094,Pearson District,Sacramento,4.6E-06,5.2E-01,8.0E-06,1.5E+00,8.3E-01
GRAIN,DAP094,Pearson District,Sacramento,2.1E-06,7.5E-01,5.5E-06,1.6E+00,1.1E+00
ONGAR,DAP094,Pearson District,Sacramento,4.6E-06,5.2E-01,8.0E-06,1.5E+00,8.3E-01
OTHDEC,DAP094,Pearson District,Sacramento,5.8E-06,6.3E-01,9.1E-06,1.5E+00,9.1E-01
OTHTRK,DAP094,Pearson District,Sacramento,4.6E-06,5.2E-01,8.0E-06,1.5E+00,8.3E-01
PASTR,DAP094,Pearson District,Sacramento,3.2E-05,5.2E-01,3.6E-05,1.7E+00,9.0E-01
POTATO,DAP094,Pearson District,Sacramento,4.6E-06,5.2E-01,8.0E-06,1.5E+00,8.3E-01
PRTOM,DAP094,Pearson District,Sacramento,4.6E-06,5.2E-01,8.0E-06,1.5E+00,8.3E-01
SAFLR,DAP094,Pearson District,Sacramento,9.1E-07,9.5E-01,5.1E-06,1.7E+00,1.4E+00
VINE,DAP094,Pearson District,Sacramento,5.8E-06,6.3E-01,9.1E-06,1.5E+00,9.1E-01
ALFAL,DAP095,Pescadero District,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
ALPIS,DAP095,Pescadero District,San Joaquin,1.6E-05,6.6E-01,2.1E-05,1.6E+00,1.1E+00
CORN,DAP095,Pescadero District,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
CUCUR,DAP095,Pescadero District,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
DRYBN,DAP095,Pescadero District,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
GRAIN,DAP095,Pescadero District,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
OTHDEC,DAP095,Pescadero District,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
OTHTRK,DAP095,Pescadero District,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PASTR,DAP095,Pescadero District,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
PRTOM,DAP095,Pescadero District,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
SAFLR,DAP095,Pescadero District,San Joaquin,5.5E-07,9.5E-01,3.4E-06,1.4E+00,1.2E+00
PASTR,DAP096,Peters Pocket,Solano,2.0E-05,5.2E-01,2.4E-05,1.4E+00,7.9E-01
ALFAL,DAP097,Pico-Naglee,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
ALPIS,DAP097,Pico-Naglee,San Joaquin,1.6E-05,6.6E-01,2.1E-05,1.6E+00,1.1E+00
CORN,DAP097,Pico-Naglee,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
CUCUR,DAP097,Pico-Naglee,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
DRYBN,DAP097,Pico-Naglee,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
GRAIN,DAP097,Pico-Naglee,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
OTHDEC,DAP097,Pico-Naglee,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
OTHTRK,DAP097,Pico-Naglee,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PASTR,DAP097,Pico-Naglee,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
PRTOM,DAP097,Pico-Naglee,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
SAFLR,DAP097,Pico-Naglee,San Joaquin,5.5E-07,9.5E-01,3.4E-06,1.4E+00,1.2E+00
VINE,DAP097,Pico-Naglee,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
ALFAL,DAP098,Prospect Island,Solano,2.0E-05,5.2E-01,2.4E-05,1.4E+00,7.9E-01
CORN,DAP098,Prospect Island,Solano,1.6E-06,7.5E-01,4.7E-06,1.4E+00,1.0
GRAIN,DAP098,Prospect Island,Solano,1.6E-06,7.5E-01,4.7E-06,1.4E+00,1.0
SAFLR,DAP098,Prospect Island,Solano,5.7E-07,9.5E-01,4.2E-06,1.5E+00,1.3E+00
ALFAL,DAP099,Quimby Island,Contra Costa,5.7E-05,5.2E-01,6.2E-05,1.8E+00,1.0
CORN,DAP099,Quimby Island,Contra Costa,3.4E-06,7.5E-01,8.5E-06,1.9E+00,1.3E+00
PASTR,DAP099,Quimby Island,Contra Costa,5.7E-05,5.2E-01,6.2E-05,1.8E+00,1.0
OTHDEC,DAP100,Randall Island,Sacramento,5.8E-06,6.3E-01,9.1E-06,1.5E+00,9.1E-01
ALFAL,DAP101,Reclamation District 17,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
ALPIS,DAP101,Reclamation District 17,San Joaquin,1.6E-05,6.6E-01,2.1E-05,1.6E+00,1.1E+00
CORN,DAP101,Reclamation District 17,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
CUCUR,DAP101,Reclamation District 17,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
DRYBN,DAP101,Reclamation District 17,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
GRAIN,DAP101,Reclamation District 17,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
OTHDEC,DAP101,Reclamation District 17,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
OTHTRK,DAP101,Reclamation District 17,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PASTR,DAP101,Reclamation District 17,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
POTATO,DAP101,Reclamation District 17,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PRTOM,DAP101,Reclamation District 17,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
SAFLR,DAP101,Reclamation District 17,San Joaquin,5.5E-07,9.5E-01,3.4E-06,1.4E+00,1.2E+00
VINE,DAP101,Reclamation District 17,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
ALFAL,DAP102,Rindge Tract,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
CORN,DAP102,Rindge Tract,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
GRAIN,DAP102,Rindge Tract,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
OTHTRK,DAP102,Rindge Tract,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
POTATO,DAP102,Rindge Tract,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
RICE,DAP102,Rindge Tract,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
OTHDEC,DAP103,Rio Blanco Tract,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
VINE,DAP103,Rio Blanco Tract,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
ALFAL,DAP104,River Junction,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
ALPIS,DAP104,River Junction,San Joaquin,1.6E-05,6.6E-01,2.1E-05,1.6E+00,1.1E+00
CORN,DAP104,River Junction,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
CUCUR,DAP104,River Junction,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
DRYBN,DAP104,River Junction,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
GRAIN,DAP104,River Junction,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
OTHDEC,DAP104,River Junction,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
OTHTRK,DAP104,River Junction,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PASTR,DAP104,River Junction,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
PRTOM,DAP104,River Junction,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
VINE,DAP104,River Junction,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
CORN,DAP105,Rough And Ready Island,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
GRAIN,DAP105,Rough And Ready Island,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
ALFAL,DAP106,Ryer Island,Solano,2.0E-05,5.2E-01,2.4E-05,1.4E+00,7.9E-01
CORN,DAP106,Ryer Island,Solano,1.6E-06,7.5E-01,4.7E-06,1.4E+00,1.0
CUCUR,DAP106,Ryer Island,Solano,3.4E-06,5.2E-01,6.5E-06,1.4E+00,7.4E-01
GRAIN,DAP106,Ryer Island,Solano,1.6E-06,7.5E-01,4.7E-06,1.4E+00,1.0
ONGAR,DAP106,Ryer Island,Solano,3.4E-06,5.2E-01,6.5E-06,1.4E+00,7.4E-01
OTHDEC,DAP106,Ryer Island,Solano,4.5E-06,6.3E-01,8.0E-06,1.4E+00,8.8E-01
OTHTRK,DAP106,Ryer Island,Solano,3.4E-06,5.2E-01,6.5E-06,1.4E+00,7.4E-01
PASTR,DAP106,Ryer Island,Solano,2.0E-05,5.2E-01,2.4E-05,1.4E+00,7.9E-01
PRTOM,DAP106,Ryer Island,Solano,3.4E-06,5.2E-01,6.5E-06,1.4E+00,7.4E-01
SAFLR,DAP106,Ryer Island,Solano,5.7E-07,9.5E-01,4.2E-06,1.5E+00,1.3E+00
SUBTRP,DAP106,Ryer Island,Solano,4.5E-06,6.3E-01,8.0E-06,1.4E+00,8.8E-01
VINE,DAP106,Ryer Island,Solano,4.5E-06,6.3E-01,8.0E-06,1.4E+00,8.8E-01
ALFAL,DAP107,Sherman Island,Sacramento,3.2E-05,5.2E-01,3.6E-05,1.7E+00,9.0E-01
CORN,DAP107,Sherman Island,Sacramento,2.1E-06,7.5E-01,5.5E-06,1.6E+00,1.1E+00
GRAIN,DAP107,Sherman Island,Sacramento,2.1E-06,7.5E-01,5.5E-06,1.6E+00,1.1E+00
PASTR,DAP107,Sherman Island,Sacramento,3.2E-05,5.2E-01,3.6E-05,1.7E+00,9.0E-01
SAFLR,DAP107,Sherman Island,Sacramento,9.1E-07,9.5E-01,5.1E-06,1.7E+00,1.4E+00
VINE,DAP107,Sherman Island,Sacramento,5.8E-06,6.3E-01,9.1E-06,1.5E+00,9.1E-01
ALFAL,DAP108,Shima Tract,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
CORN,DAP108,Shima Tract,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
GRAIN,DAP108,Shima Tract,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
OTHDEC,DAP108,Shima Tract,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
PASTR,DAP108,Shima Tract,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
CORN,DAP109,Shin Kee Tract,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
GRAIN,DAP109,Shin Kee Tract,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
PASTR,DAP109,Shin Kee Tract,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
PRTOM,DAP109,Shin Kee Tract,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
VINE,DAP109,Shin Kee Tract,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
ALFAL,DAP110,South Delta Extra,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
ALPIS,DAP110,South Delta Extra,San Joaquin,1.6E-05,6.6E-01,2.1E-05,1.6E+00,1.1E+00
CORN,DAP110,South Delta Extra,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
CUCUR,DAP110,South Delta Extra,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
DRYBN,DAP110,South Delta Extra,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
GRAIN,DAP110,South Delta Extra,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
OTHDEC,DAP110,South Delta Extra,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
OTHTRK,DAP110,South Delta Extra,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PASTR,DAP110,South Delta Extra,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
PRTOM,DAP110,South Delta Extra,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
SAFLR,DAP110,South Delta Extra,San Joaquin,5.5E-07,9.5E-01,3.4E-06,1.4E+00,1.2E+00
SUBTRP,DAP110,South Delta Extra,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
VINE,DAP110,South Delta Extra,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
ALFAL,DAP111,Stark Tract,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
CUCUR,DAP111,Stark Tract,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
GRAIN,DAP111,Stark Tract,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
OTHTRK,DAP111,Stark Tract,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PASTR,DAP111,Stark Tract,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
PRTOM,DAP111,Stark Tract,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
SAFLR,DAP111,Stark Tract,San Joaquin,5.5E-07,9.5E-01,3.4E-06,1.4E+00,1.2E+00
ALFAL,DAP112,Staten Island,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
CORN,DAP112,Staten Island,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
GRAIN,DAP112,Staten Island,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
PASTR,DAP112,Staten Island,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
POTATO,DAP112,Staten Island,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
ALFAL,DAP113,Stewart Tract,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
CORN,DAP113,Stewart Tract,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
CUCUR,DAP113,Stewart Tract,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
DRYBN,DAP113,Stewart Tract,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
GRAIN,DAP113,Stewart Tract,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
OTHTRK,DAP113,Stewart Tract,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PASTR,DAP113,Stewart Tract,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
PRTOM,DAP113,Stewart Tract,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
SAFLR,DAP113,Stewart Tract,San Joaquin,5.5E-07,9.5E-01,3.4E-06,1.4E+00,1.2E+00
ALFAL,DAP114,Sutter Island,Sacramento,3.2E-05,5.2E-01,3.6E-05,1.7E+00,9.0E-01
CUCUR,DAP114,Sutter Island,Sacramento,4.6E-06,5.2E-01,8.0E-06,1.5E+00,8.3E-01
GRAIN,DAP114,Sutter Island,Sacramento,2.1E-06,7.5E-01,5.5E-06,1.6E+00,1.1E+00
OTHDEC,DAP114,Sutter Island,Sacramento,5.8E-06,6.3E-01,9.1E-06,1.5E+00,9.1E-01
OTHTRK,DAP114,Sutter Island,Sacramento,4.6E-06,5.2E-01,8.0E-06,1.5E+00,8.3E-01
PRTOM,DAP114,Sutter Island,Sacramento,4.6E-06,5.2E-01,8.0E-06,1.5E+00,8.3E-01
SAFLR,DAP114,Sutter Island,Sacramento,9.1E-07,9.5E-01,5.1E-06,1.7E+00,1.4E+00
SUBTRP,DAP114,Sutter Island,Sacramento,5.8E-06,6.3E-01,9.1E-06,1.5E+00,9.1E-01
VINE,DAP114,Sutter Island,Sacramento,5.8E-06,6.3E-01,9.1E-06,1.5E+00,9.1E-01
ALFAL,DAP115,Terminous Tract,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
CORN,DAP115,Terminous Tract,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
CUCUR,DAP115,Terminous Tract,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
GRAIN,DAP115,Terminous Tract,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
OTHTRK,DAP115,Terminous Tract,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PASTR,DAP115,Terminous Tract,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
POTATO,DAP115,Terminous Tract,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PRTOM,DAP115,Terminous Tract,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
SUBTRP,DAP115,Terminous Tract,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
VINE,DAP115,Terminous Tract,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
ALFAL,DAP116,Twitchell Island,Sacramento,3.2E-05,5.2E-01,3.6E-05,1.7E+00,9.0E-01
CORN,DAP116,Twitchell Island,Sacramento,2.1E-06,7.5E-01,5.5E-06,1.6E+00,1.1E+00
OTHDEC,DAP116,Twitchell Island,Sacramento,5.8E-06,6.3E-01,9.1E-06,1.5E+00,9.1E-01
PASTR,DAP116,Twitchell Island,Sacramento,3.2E-05,5.2E-01,3.6E-05,1.7E+00,9.0E-01
RICE,DAP116,Twitchell Island,Sacramento,2.1E-06,7.5E-01,5.5E-06,1.6E+00,1.1E+00
SAFLR,DAP116,Twitchell Island,Sacramento,9.1E-07,9.5E-01,5.1E-06,1.7E+00,1.4E+00
ALFAL,DAP117,Tyler Island,Sacramento,3.2E-05,5.2E-01,3.6E-05,1.7E+00,9.0E-01
CORN,DAP117,Tyler Island,Sacramento,2.1E-06,7.5E-01,5.5E-06,1.6E+00,1.1E+00
CUCUR,DAP117,Tyler Island,Sacramento,4.6E-06,5.2E-01,8.0E-06,1.5E+00,8.3E-01
GRAIN,DAP117,Tyler Island,Sacramento,2.1E-06,7.5E-01,5.5E-06,1.6E+00,1.1E+00
OTHDEC,DAP117,Tyler Island,Sacramento,5.8E-06,6.3E-01,9.1E-06,1.5E+00,9.1E-01
OTHTRK,DAP117,Tyler Island,Sacramento,4.6E-06,5.2E-01,8.0E-06,1.5E+00,8.3E-01
PASTR,DAP117,Tyler Island,Sacramento,3.2E-05,5.2E-01,3.6E-05,1.7E+00,9.0E-01
POTATO,DAP117,Tyler Island,Sacramento,4.6E-06,5.2E-01,8.0E-06,1.5E+00,8.3E-01
PRTOM,DAP117,Tyler Island,Sacramento,4.6E-06,5.2E-01,8.0E-06,1.5E+00,8.3E-01
SAFLR,DAP117,Tyler Island,Sacramento,9.1E-07,9.5E-01,5.1E-06,1.7E+00,1.4E+00
VINE,DAP117,Tyler Island,Sacramento,5.8E-06,6.3E-01,9.1E-06,1.5E+00,9.1E-01
ALFAL,DAP118,Union Island East,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
ALPIS,DAP118,Union Island East,San Joaquin,1.6E-05,6.6E-01,2.1E-05,1.6E+00,1.1E+00
CORN,DAP118,Union Island East,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
CUCUR,DAP118,Union Island East,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
GRAIN,DAP118,Union Island East,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
OTHDEC,DAP118,Union Island East,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
OTHTRK,DAP118,Union Island East,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PASTR,DAP118,Union Island East,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
POTATO,DAP118,Union Island East,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PRTOM,DAP118,Union Island East,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
SAFLR,DAP118,Union Island East,San Joaquin,5.5E-07,9.5E-01,3.4E-06,1.4E+00,1.2E+00
VINE,DAP118,Union Island East,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
ALFAL,DAP119,Union Island West,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
ALPIS,DAP119,Union Island West,San Joaquin,1.6E-05,6.6E-01,2.1E-05,1.6E+00,1.1E+00
CORN,DAP119,Union Island West,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
CUCUR,DAP119,Union Island West,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
GRAIN,DAP119,Union Island West,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
OTHTRK,DAP119,Union Island West,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PASTR,DAP119,Union Island West,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
POTATO,DAP119,Union Island West,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PRTOM,DAP119,Union Island West,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
RICE,DAP119,Union Island West,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
SAFLR,DAP119,Union Island West,San Joaquin,5.5E-07,9.5E-01,3.4E-06,1.4E+00,1.2E+00
VINE,DAP119,Union Island West,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
ALFAL,DAP120,Upper Andrus Island,Sacramento,3.2E-05,5.2E-01,3.6E-05,1.7E+00,9.0E-01
CORN,DAP120,Upper Andrus Island,Sacramento,2.1E-06,7.5E-01,5.5E-06,1.6E+00,1.1E+00
CUCUR,DAP120,Upper Andrus Island,Sacramento,4.6E-06,5.2E-01,8.0E-06,1.5E+00,8.3E-01
GRAIN,DAP120,Upper Andrus Island,Sacramento,2.1E-06,7.5E-01,5.5E-06,1.6E+00,1.1E+00
OTHDEC,DAP120,Upper Andrus Island,Sacramento,5.8E-06,6.3E-01,9.1E-06,1.5E+00,9.1E-01
PASTR,DAP120,Upper Andrus Island,Sacramento,3.2E-05,5.2E-01,3.6E-05,1.7E+00,9.0E-01
SAFLR,DAP120,Upper Andrus Island,Sacramento,9.1E-07,9.5E-01,5.1E-06,1.7E+00,1.4E+00
VINE,DAP120,Upper Andrus Island,Sacramento,5.8E-06,6.3E-01,9.1E-06,1.5E+00,9.1E-01
ALFAL,DAP121,Veale Tract,Contra Costa,5.7E-05,5.2E-01,6.2E-05,1.8E+00,1.0
CORN,DAP121,Veale Tract,Contra Costa,3.4E-06,7.5E-01,8.5E-06,1.9E+00,1.3E+00
GRAIN,DAP121,Veale Tract,Contra Costa,3.4E-06,7.5E-01,8.5E-06,1.9E+00,1.3E+00
